learner,decile,decile_label,treatment_conv_rate,control_conv_rate,uplift,sample_size,n_treated,n_control,mean_cate,mean_p_exposure
S-Learner,1,Bottom 10%,0.00011793942967861506,0.0000948294255707546,0.000023110004107860455,279591,237410,42181,-0.00004468761171140464,0.04657683148980141
S-Learner,2,2nd Decile,0.00005053227327853389,0.000023741690408357073,0.00002679058287017682,279592,237472,42120,0.00013169918926901684,0.019917862489819527
S-Learner,3,3rd Decile,0.00010544430010291363,0.0,0.00010544430010291363,279592,237092,42500,0.00016464640419711416,0.027619710192084312
S-Learner,4,4th Decile,0.00010540162234177108,0.0,0.00010540162234177108,279592,237188,42404,0.0001985165869152064,0.03253982588648796
S-Learner,5,5th Decile,0.0001391536087169194,0.000023560456130430686,0.00011559315258648871,279592,237148,42444,0.00028729369830792536,0.05002749711275101
S-Learner,6,6th Decile,0.00019416164378935994,0.00018745899334520573,6.702650444154217e-6,279592,236916,42676,0.0003938889222793091,0.06242924928665161
S-Learner,7,7th Decile,0.00025311649686768334,0.00021153077772815944,0.00004158571913952391,279592,237045,42547,0.0007520890715412322,0.1961957961320877
S-Learner,8,8th Decile,0.0006708464478891543,0.00035229461224106347,0.0003185518356480908,279592,237014,42578,0.0018684618344771149,0.14445407688617706
S-Learner,9,9th Decile,0.0021810801820654575,0.001401591637961753,0.0007794885441037044,279592,237497,42095,0.00524345462351791,0.2946490943431854
S-Learner,10,Top 10%,0.026941166250946228,0.019448775202811616,0.007492391048134612,279592,241749,37843,0.041599862114608276,0.6055275201797485
T-Learner,1,Bottom 10%,0.003960471207500854,0.003223681114405384,0.0007367900930954703,279591,237093,42498,-0.009874331045204531,0.16365781426429749
T-Learner,2,2nd Decile,0.00013484301323568452,0.00007095721280068119,0.00006388580043500333,279592,237313,42279,-0.00003953398229579398,0.05436122044920921
T-Learner,3,3rd Decile,0.00011798863095263179,0.00004730257089472813,0.00007068606005790366,279592,237311,42281,0.00019150970687355147,0.04004159942269325
T-Learner,4,4th Decile,0.00009273348817015752,0.00004722215663589356,0.000045511331534263955,279592,237239,42353,0.00033448925717949443,0.041787367314100266
T-Learner,5,5th Decile,0.00012226382002765692,0.0,0.00012226382002765692,279592,237192,42400,0.0004415704119693939,0.04388796538114548
T-Learner,6,6th Decile,0.00019370052214923362,0.0000712386018237082,0.0001224619203255254,279592,237480,42112,0.0006200909093982576,0.06045767664909363
T-Learner,7,7th Decile,0.000244719542965157,0.00007044568637580425,0.00017427385658935274,279592,237006,42586,0.001034118915275349,0.08360688388347626
T-Learner,8,8th Decile,0.0007216834215390849,0.0005627725929747222,0.0001589108285643627,279592,236946,42646,0.0022360728240846946,0.16141901910305023
T-Learner,9,9th Decile,0.0021343999731099216,0.0012504208146972538,0.0008839791584126678,279592,238006,41586,0.007473059632754956,0.2847198247909546
T-Learner,10,Top 10%,0.02318371412563033,0.01570626439309649,0.00747744973253384,279592,240945,38647,0.07728094366966765,0.545998752117157
X-Learner,1,Bottom 10%,0.00012236183660897375,0.00004696048275376271,0.00007540135385521103,279591,237002,42589,0.00042482802159063263,0.012110714800655842
X-Learner,2,2nd Decile,0.00009265303543978606,0.0,0.00009265303543978606,279592,237445,42147,0.0004835264779852236,0.01950104534626007
X-Learner,3,3rd Decile,0.0000548331175158067,0.000023524430120680328,0.00003130868739512637,279592,237083,42509,0.0005004394660273343,0.016490742564201355
X-Learner,4,4th Decile,0.00007575661923460562,0.00002381576127080902,0.0000519408579637966,279592,237603,41989,0.0006172458981023734,0.0377170592546463
X-Learner,5,5th Decile,0.00009704027171276079,0.00004697371820466449,0.0000500665535080963,279592,237015,42577,0.0007721287428262341,0.03655678778886795
X-Learner,6,6th Decile,0.0001982127117607615,0.00021189932427659926,-0.000013686612515837778,279592,237119,42473,0.0014211873806087626,0.17065463960170746
X-Learner,7,7th Decile,0.00027444804276322737,0.0001637312001496971,0.00011071684261353026,279592,236839,42753,0.0024614449636676094,0.1357535868883133
X-Learner,8,8th Decile,0.0006912801750119077,0.00037779509338622464,0.00031348508162568306,279592,237241,42351,0.004895557831042279,0.17712631821632385
X-Learner,9,9th Decile,0.0019795155860584945,0.0011043092065778418,0.0008752063794806527,279592,237937,41655,0.01278767266704938,0.31203725934028625
X-Learner,10,Top 10%,0.027221063888877375,0.019533185552223237,0.007687878336654137,279592,241247,38345,0.10040424061270418,0.5619893074035645
R-Learner,1,Bottom 10%,0.0016598908853453541,0.0013972434045374888,0.0002626474808078653,279591,237365,42226,-0.00026093953155911185,0.034673742949962616
R-Learner,2,2nd Decile,0.00013073218457697596,0.00002354825036499788,0.00010718393421197807,279592,237126,42466,0.00008656697900732979,0.02794712968170643
R-Learner,3,3rd Decile,0.00015621965327681278,0.00009357600711177654,0.00006264364616503624,279592,236846,42746,0.00008656697900732979,0.02799884043633938
R-Learner,4,4th Decile,0.00006330048741375308,0.000023459309827104887,0.0000398411775866482,279592,236965,42627,0.00008656697900732979,0.027987433597445488
R-Learner,5,5th Decile,0.00010962878008466715,0.00007070802300367682,0.000038920757080990333,279592,237164,42428,0.00008656697900732979,0.02804991975426674
R-Learner,6,6th Decile,0.0002527401241796477,0.00018960041712091767,0.00006313970705873001,279592,237398,42194,0.00010085895769184064,0.04904898628592491
R-Learner,7,7th Decile,0.0006212912714916063,0.0003024099748767098,0.00031888129661489646,279592,236604,42988,0.00015488388990954905,0.08763714134693146
R-Learner,8,8th Decile,0.0007067078352024634,0.0006926200143300693,0.000014087820872394122,279592,237722,41870,0.0002716341521422524,0.2985135316848755
R-Learner,9,9th Decile,0.001868238680114619,0.0012877071658519137,0.0005805315142627054,279592,237657,41935,0.0006060326209770045,0.2987174391746521
R-Learner,10,Top 10%,0.025227156121216135,0.01743695262213781,0.007790203499078326,279592,241684,37908,0.00865471915184462,0.5993633270263672
