learner,fraction_targeted,cumulative_uplift
S-Learner,0.0,0.0
S-Learner,427.0,28.201459767386655
S-Learner,855.0,58.36459828953118
S-Learner,1285.0,74.5395615006674
S-Learner,1714.0,105.71974344781673
S-Learner,2143.0,113.71006963124644
S-Learner,2572.0,143.04025423728814
S-Learner,2999.0,193.26292506419733
S-Learner,3427.0,190.5081929872724
S-Learner,3856.0,215.0669331945928
S-Learner,4286.0,165.17160845530347
S-Learner,4715.0,155.38135006486442
S-Learner,5144.0,178.13660256566493
S-Learner,5575.0,186.5590582875152
S-Learner,6002.0,218.8371843146204
S-Learner,6430.0,247.71510826445245
S-Learner,6859.0,256.7796788277887
S-Learner,7289.0,285.3979478543588
S-Learner,7720.0,261.4244123089382
S-Learner,8150.0,287.0933767972349
S-Learner,8579.0,323.7219692777961
S-Learner,9008.0,350.5648415072415
S-Learner,9438.0,370.940647744278
S-Learner,9869.0,382.6005370001835
S-Learner,10299.0,382.828275323739
S-Learner,10727.0,412.3982679625998
S-Learner,11157.0,405.6483743312776
S-Learner,11590.0,386.02722789209736
S-Learner,12022.0,400.5555139069792
S-Learner,12452.0,418.2332938016816
S-Learner,12881.0,417.7143032209152
S-Learner,13312.0,433.2539303558962
S-Learner,13742.0,461.2402771308804
S-Learner,14172.0,476.2782541495641
S-Learner,14609.0,501.58621752091
S-Learner,15041.0,511.45658529380034
S-Learner,15477.0,530.1374125406134
S-Learner,15913.0,540.4107088079132
S-Learner,16348.0,548.5481575605878
S-Learner,16782.0,538.7901483791652
S-Learner,17218.0,543.8759713637103
S-Learner,17652.0,549.0129046081398
S-Learner,18082.0,564.9043851895608
S-Learner,18512.0,570.8908557762343
S-Learner,18964.0,596.6679947783642
S-Learner,19401.0,586.3032964381351
S-Learner,19831.0,613.886911863596
S-Learner,20263.0,645.0999201337759
S-Learner,20704.0,644.3704354068904
S-Learner,21135.0,619.2118005620855
S-Learner,21566.0,614.6246671341945
S-Learner,22005.0,636.9636770941675
S-Learner,22446.0,633.6022991231898
S-Learner,22878.0,625.3270509977827
S-Learner,23316.0,638.7727852354677
S-Learner,23753.0,650.9413169647128
S-Learner,24191.0,659.8759632105897
S-Learner,24628.0,680.2594882096754
S-Learner,25072.0,705.6081854534219
S-Learner,25509.0,732.1530758660074
S-Learner,25946.0,727.6998367167923
S-Learner,26384.0,725.3891276369228
S-Learner,26822.0,743.8603580613877
S-Learner,27262.0,737.0750008860598
S-Learner,27701.0,738.163592082564
S-Learner,28134.0,759.5490006671581
S-Learner,28580.0,765.0703651314634
S-Learner,29020.0,771.5077914944217
S-Learner,29451.0,772.6912227032075
S-Learner,29897.0,778.431602648574
S-Learner,30335.0,795.0838560221792
S-Learner,30771.0,795.2236840280123
S-Learner,31220.0,814.0285620848729
S-Learner,31660.0,808.5312241630616
S-Learner,32092.0,819.017402572826
S-Learner,32528.0,816.422766091064
S-Learner,32974.0,826.0494668415635
S-Learner,33413.0,853.67989272191
S-Learner,33855.0,835.0688941484126
S-Learner,34299.0,852.8377492075617
S-Learner,34735.0,862.9609439881434
S-Learner,35171.0,860.6012836913632
S-Learner,35613.0,847.8208658814666
S-Learner,36056.0,868.5750709473224
S-Learner,36500.0,891.0533300263078
S-Learner,36936.0,919.6344595529785
S-Learner,37376.0,910.0351371443652
S-Learner,37812.0,913.5696105705584
S-Learner,38250.0,938.5956004605724
S-Learner,38689.0,917.9345625178617
S-Learner,39133.0,933.6622427808276
S-Learner,39569.0,949.825300819826
S-Learner,40004.0,950.4476649077676
S-Learner,40444.0,924.7718358837458
S-Learner,40888.0,936.8477941546176
S-Learner,41329.0,925.0176256827364
S-Learner,41762.0,949.6613212395036
S-Learner,42203.0,952.9251754201518
S-Learner,42637.0,968.5308152984932
S-Learner,43079.0,993.861413482084
S-Learner,43518.0,995.26671153531
S-Learner,43961.0,994.6719607787984
