strategy,fraction_targeted,cumulative_uplift
X-learner CATE,0.0,0.0
X-learner CATE,2714.0,85.12386772437968
X-learner CATE,5429.0,300.80844155844153
X-learner CATE,8143.0,473.59819466637816
X-learner CATE,10858.0,603.8057094747539
X-learner CATE,13573.0,649.8048563952328
X-learner CATE,16287.0,611.7358225252958
X-learner CATE,19002.0,662.4459109444151
X-learner CATE,21717.0,782.4431678940078
X-learner CATE,24431.0,857.4647773792954
X-learner CATE,27146.0,902.1701159063116
X-learner CATE,29861.0,973.20948510919
X-learner CATE,32575.0,1032.65168475157
X-learner CATE,35290.0,1039.4795895848954
X-learner CATE,38005.0,1035.558310492583
X-learner CATE,40719.0,1074.3766019242194
X-learner CATE,43434.0,1154.6924478339156
X-learner CATE,46149.0,1147.2318414556628
X-learner CATE,48863.0,1192.6698567462618
X-learner CATE,51578.0,1216.6283755858185
X-learner CATE,54293.0,1255.3795215159498
X-learner CATE,57007.0,1282.4412962934805
X-learner CATE,59722.0,1325.003904029037
X-learner CATE,62437.0,1360.984339040763
X-learner CATE,65151.0,1364.6897318029862
X-learner CATE,67866.0,1349.749529212905
X-learner CATE,70581.0,1381.926072231652
X-learner CATE,73295.0,1396.4510054998163
X-learner CATE,76010.0,1403.8319239762
X-learner CATE,78725.0,1417.2376464192478
X-learner CATE,81439.0,1441.4215762721487
X-learner CATE,84154.0,1451.5190048803463
X-learner CATE,86869.0,1442.1487832219605
X-learner CATE,89583.0,1466.3887644385786
X-learner CATE,92298.0,1479.8615047149992
X-learner CATE,95013.0,1516.2488520185957
X-learner CATE,97727.0,1544.494881544405
X-learner CATE,100442.0,1553.8162631615776
X-learner CATE,103157.0,1582.8318097537651
X-learner CATE,105871.0,1571.9344255205287
X-learner CATE,108586.0,1577.9071203225412
X-learner CATE,111301.0,1614.5742630479924
X-learner CATE,114015.0,1604.5851790228546
X-learner CATE,116730.0,1603.1961587876192
X-learner CATE,119446.0,1627.8923709607814
X-learner CATE,122160.0,1659.740583550945
X-learner CATE,124875.0,1685.546424995057
X-learner CATE,127590.0,1686.2254234658017
X-learner CATE,130304.0,1684.6534989106735
X-learner CATE,133019.0,1682.735633126361
X-learner CATE,135734.0,1718.799940724106
X-learner CATE,138448.0,1735.3999914161618
X-learner CATE,141163.0,1737.3272666172188
X-learner CATE,143880.0,1744.2572065028023
X-learner CATE,146594.0,1781.841444924289
X-learner CATE,149312.0,1800.8969773750066
X-learner CATE,152027.0,1825.0288396467176
X-learner CATE,154742.0,1827.0930792190104
X-learner CATE,157457.0,1829.7262713963669
X-learner CATE,160172.0,1832.6738482578849
X-learner CATE,162886.0,1834.079894958502
X-learner CATE,165601.0,1847.2047816193096
X-learner CATE,168316.0,1847.5701770361425
X-learner CATE,171030.0,1849.6482772645331
X-learner CATE,173745.0,1875.4756817300165
X-learner CATE,176461.0,1881.2119733606928
X-learner CATE,179175.0,1896.724597028582
X-learner CATE,181890.0,1879.6027240373955
X-learner CATE,184604.0,1882.5855653962028
X-learner CATE,187319.0,1886.6779002039357
X-learner CATE,190038.0,1890.2372556809976
X-learner CATE,192752.0,1887.6720215130467
X-learner CATE,195467.0,1872.545159467223
X-learner CATE,198184.0,1872.1725370865288
X-learner CATE,200908.0,1887.7449247151724
X-learner CATE,203623.0,1904.7537475296683
X-learner CATE,206338.0,1914.4857945945423
X-learner CATE,209060.0,1917.607988467479
X-learner CATE,211775.0,1933.7388030181264
X-learner CATE,214490.0,1953.1831930397027
X-learner CATE,217207.0,1956.230372211024
X-learner CATE,219922.0,1965.539451988041
X-learner CATE,222637.0,1982.619630703636
X-learner CATE,225351.0,1989.182026042978
X-learner CATE,228067.0,1999.7909750297297
X-learner CATE,230782.0,2007.1284750997672
X-learner CATE,233496.0,2006.2508694581293
X-learner CATE,236213.0,2020.0593941659647
X-learner CATE,238928.0,2026.040325603606
X-learner CATE,241642.0,2035.7300332649725
X-learner CATE,244357.0,2040.8734473951604
X-learner CATE,247073.0,2041.9120453539297
X-learner CATE,249787.0,2044.708165663806
X-learner CATE,252503.0,2060.2846489628187
X-learner CATE,255218.0,2058.031406366768
X-learner CATE,257932.0,2071.9050424938055
X-learner CATE,260651.0,2086.4792869782027
X-learner CATE,263370.0,2093.666104301233
X-learner CATE,266084.0,2113.2524282248496
X-learner CATE,268799.0,2121.087928636475
X-learner CATE,271514.0,2124.407113316039
X-learner CATE,274228.0,2143.544904796114
X-learner CATE,276944.0,2138.6074244654537
X-learner CATE,279659.0,2149.262504496449
X-learner CATE,282374.0,2159.303682287353
X-learner CATE,285091.0,2159.508234213189
X-learner CATE,287806.0,2161.4920455610686
X-learner CATE,290526.0,2158.1129048330945
X-learner CATE,293241.0,2169.879033926393
X-learner CATE,295960.0,2174.253680179867
X-learner CATE,298681.0,2194.020996621031
X-learner CATE,301397.0,2197.344323668375
X-learner CATE,304114.0,2201.7659201614965
X-learner CATE,306830.0,2214.1770251723106
X-learner CATE,309560.0,2233.5782313033847
X-learner CATE,312276.0,2240.6312700926833
X-learner CATE,314990.0,2244.909042410469
X-learner CATE,317718.0,2247.1117651129784
X-learner CATE,320438.0,2253.817992900723
X-learner CATE,323155.0,2251.9743241692113
X-learner CATE,325880.0,2259.2069736768326
X-learner CATE,328595.0,2276.015955565066
X-learner CATE,331309.0,2284.3102361676233
X-learner CATE,334024.0,2285.711664046699
X-learner CATE,336739.0,2279.0781470260367
X-learner CATE,339454.0,2276.62252298631
X-learner CATE,342181.0,2279.462672342048
X-learner CATE,344899.0,2295.748747089931
X-learner CATE,347616.0,2309.153050812625
X-learner CATE,350336.0,2317.9183191577295
X-learner CATE,353051.0,2333.9654092853466
X-learner CATE,355776.0,2347.072377235844
X-learner CATE,358491.0,2350.905488641775
X-learner CATE,361206.0,2357.3793922869245
X-learner CATE,363922.0,2366.875968592762
X-learner CATE,366641.0,2381.579367199907
X-learner CATE,369363.0,2383.884794921035
X-learner CATE,372078.0,2391.097512304578
X-learner CATE,374793.0,2395.721126311226
X-learner CATE,377507.0,2389.654878505555
X-learner CATE,380251.0,2389.6318295177457
X-learner CATE,382966.0,2401.6041664402715
X-learner CATE,385696.0,2410.284097264834
X-learner CATE,388416.0,2411.526815550903
X-learner CATE,391133.0,2421.694737917511
X-learner CATE,393856.0,2430.7019579822067
X-learner CATE,396579.0,2433.8047522692355
X-learner CATE,399320.0,2426.5602667874714
X-learner CATE,402057.0,2428.1398651944432
X-learner CATE,404774.0,2430.317377754082
X-learner CATE,407489.0,2436.505498992162
X-learner CATE,410203.0,2443.8317660886873
X-learner CATE,412918.0,2452.8324822103837
X-learner CATE,415635.0,2462.6299352347105
X-learner CATE,418352.0,2466.0828820986053
X-learner CATE,421068.0,2469.396376129251
X-learner CATE,423785.0,2459.6389078373154
X-learner CATE,426501.0,2463.7092047995634
X-learner CATE,429237.0,2476.5882720195223
X-learner CATE,431953.0,2478.110441470962
X-learner CATE,434668.0,2477.4935890102456
X-learner CATE,437383.0,2473.9883562524274
X-learner CATE,440100.0,2463.8789094377357
X-learner CATE,442825.0,2473.6500801873353
X-learner CATE,445540.0,2475.995267569325
X-learner CATE,448256.0,2487.348123691414
X-learner CATE,450973.0,2498.2204498139104
X-learner CATE,453697.0,2500.512965999848
X-learner CATE,456414.0,2494.127166571023
X-learner CATE,459128.0,2488.3086745612436
X-learner CATE,461843.0,2491.80695932169
X-learner CATE,464574.0,2505.305949078476
X-learner CATE,467290.0,2512.751494948968
X-learner CATE,470006.0,2518.376856668079
X-learner CATE,472723.0,2524.5406475994123
X-learner CATE,475442.0,2528.2013871285244
X-learner CATE,478157.0,2533.419614001062
X-learner CATE,480872.0,2529.2391608739513
X-learner CATE,483586.0,2534.8658603735216
X-learner CATE,486308.0,2533.6474653635605
X-learner CATE,489023.0,2540.3190025476297
X-learner CATE,491737.0,2544.9576947772052
X-learner CATE,494452.0,2551.9236283191867
X-learner CATE,497171.0,2555.54386158641
X-learner CATE,499885.0,2556.7907070492215
X-learner CATE,502600.0,2560.8249917883645
X-learner CATE,505338.0,2569.840240897412
X-learner CATE,508054.0,2575.452559374985
X-learner CATE,510770.0,2573.0785593213996
X-learner CATE,513486.0,2577.5584989310487
X-learner CATE,516203.0,2584.188894869038
X-learner CATE,518919.0,2594.001434460266
X-learner CATE,521636.0,2598.4919262189765
X-learner CATE,524353.0,2605.846360104019
X-learner CATE,527070.0,2609.4895688087067
X-learner CATE,529786.0,2615.634591520522
X-learner CATE,532501.0,2623.6581406988485
X-learner CATE,535231.0,2633.4958809062914
X-learner CATE,537946.0,2636.616046005073
X-learner CATE,540660.0,2637.2986545440144
X-learner CATE,543376.0,2643.672560475607
X-learner CATE,546095.0,2652.8858730364304
X-learner CATE,548822.0,2641.4001126858466
X-learner CATE,551539.0,2640.2616013651264
X-learner CATE,554255.0,2644.894321169356
X-learner CATE,556979.0,2650.210756211391
X-learner CATE,559695.0,2656.5298670867733
X-learner CATE,562409.0,2659.2681210224896
X-learner CATE,565124.0,2651.9780066528097
X-learner CATE,567841.0,2661.581487349477
X-learner CATE,570571.0,2664.0276164363813
X-learner CATE,573294.0,2668.389169373728
X-learner CATE,576009.0,2677.178799545681
X-learner CATE,578728.0,2676.3567267276853
X-learner CATE,581451.0,2672.860512124063
X-learner CATE,584167.0,2670.698135441183
X-learner CATE,586884.0,2677.236431430286
X-learner CATE,589625.0,2683.787004753151
X-learner CATE,592356.0,2688.1124320415197
X-learner CATE,595071.0,2687.746571961067
X-learner CATE,597786.0,2687.517133789859
X-learner CATE,600501.0,2693.717719549618
X-learner CATE,603223.0,2694.8632225983824
X-learner CATE,605940.0,2702.085497555124
